Driver,Transcript
Lewis HAMILTON," So we knew it was going to be tough on the mediums. Actually, I think the engineers… they’re very – kind of – chilled about it. Yeah, it will be tough but you’ll be alright. They, like, send you out… It was very tricky and obviously it start to spit so when you’re often the first car into the corners at the start of a lap when it is spitting, you’re the first one to hit those raindrops, you’re the first one to hit those patches of circuit. It’s different when you’re in second, because you can react, often, to the car ahead but I struggled. I got to turn five which was not so bad but then in turn six I had that massive oversteer moment and realised I still had low grip and Valtteri came by, I was overly cautious, I would say, through seven and kind of just generally let them by into eight, didn’t even defend and he seemed to have more grip than me at that moment. Of course, I didn’t understand why, but I was sure that at some stage I would get there and I knew that it’s a long, long race here, so I just kept my cool and just focused on trying to keep the car, the thing on the track, not make mistakes, and keep myself in the race, keep this guy(Max) behind, because he was also right on my tail. And even on the hard, it was not so easy to get temperatures but it wasn’t as bad as it was at the start of the race."
Lewis HAMILTON," Thank you, yes, I was asking the other guys if they’d experienced anything like it. I generally didn’t drink a lot today and I remember getting into the car thinking I’m probably going to be dehydrated and I just didn’t… I never drink in the race, never. And anyways, I started having small cramp… it’s a very physical circuit but your throttle pedal, there’s lots of bumps, undulations, you’re applying the throttle pretty aggressively for pretty much every lap all the way and you never really get to rest. I was coming out of the last corner, coming round turn 15 onto the straight and I got the feeling that it was about to pull, like you’re pulling a muscle, and it popped and it hurt so much, I had to lift and I didn’t really know what to do, because every time I applied it the pain was there. But of course I can’t stay off the gas, I’ve got to keep going, so it’s just mind over matter, so I just had to keep pushing. It was pretty excruciating for a couple of laps, but then it started to kind of…. I don’t know whether blood starts rushing to it and the adrenalin takes over but I’ve definitely got a bit of a knot in my knee, my calf. Yeah, I will seek medical attention afterwards. Angela is a real physio. A lot of trainers here claim they are real physios but they are not; most of them aren’t physios. Angela’s got…"
Max VERSTAPPEN," She’s got strong hands. She’s quite… she treated me once, it was not so lovely. Well, it was good but not so very enjoyable initially."
Lewis HAMILTON," No, it’s not."
Valtteri BOTTAS," I didn’t really have any big lock-ups so I think it was just that it’s quite common that when a tyre starts to be at the end of its life, it starts vibration so I think it was really just the tyre wear and that forced us to stop at that point."
Max VERSTAPPEN," Well, you just have to accept the situation you’re in, because otherwise you would become a very frustrated person if you don’t accept it, so that’s what I did. That doesn’t mean that every time… you know, I come to a Grand Prix, I always try to get the best out of it and it’s a good motivation.  I can enjoy third or second if I know that I push myself to the limit, I push the car to the limit and I know that the team did everything they could. Like again, I think today they guys did a few amazing pit stops again. Stuff like that motivates me but also motivates them. I take my enjoyment out of that. And in the end of the day, yeah, I mean everybody loves winning, that’s why we are, but if it’s not possible, it’s not possible. Youngest World Champion? I mean at the end of the day, I don’t think that when I’m 40 or 50 years old I care a lot about those kind of things. I just want to look back when I’m at that stage, when I’m 40 or 50 and I look at myself in the mirror and say did you get the most out of yourself? If you can say yes, then I’m happy about that because if that means you win seven titles or whatever or zero, you need a bit of luck for that as well, to be at the right team at the right time. Sometimes it doesn’t work out like that but we’ll see. I still have a few years ahead of me, so hopefully things will change."
Valtteri BOTTAS," It’s a motivation. For me it’s… as I’ve said before, I definitely don’t want anything easy. It’s how I’ve been raced and what is my mindset, that I will always keep going and it’s just great motivation to try and beat him and it’s difficult but I know it’s possible and that’s the thing. And if I give up, it won’t ever be possible and that will be the biggest mistake to do and also what Max said, the main thing is really to give it all you have every single time, make the most out of every situation. Obviously Max is a bit younger, I’m 31 now but I still feel like I’m peaking. I’m not yet there  and hopefully, soon, I will be and I also feel I still have quite a few years and I’ll keep pushing and that’s it. For me it’s very simple."
Max VERSTAPPEN," No, luckily no damage. I was a bit cautious on that lap because I was not sure what was going to happen with the car, if I had damage or not or if something would break but luckily I looked at the car when I jumped out and nothing was damaged, so that was very lucky."
Daniel RICCIARDO," It was a bizarre one. I got into fourth off the start and I felt that was obviously the best we could do with the three at the front. But then Pérez had really good pace. He passed us through the pit sequence and then I think he pitted for the soft at the end with the safety car. We obviously kept track position. I’m not sure what happened to Max but that obviously put us in the fight. Kvyat came out of nowhere in the last few laps, but it was fun. Two podiums in three races as you say. It all just happened very quickly at the end there. It was fun."
Daniel RICCIARDO," He actually just said,  “congrats, but I’m not getting a second tattoo”. So maybe someone else in the team. But today I won’t forget the shoey."
Daniel RICCIARDO, It is. It obviously is pretty difficult for overtaking but the actual circuit itself is awesome. It’s mega.
Valtteri BOTTAS," Yeah, I think that made quite a big effect today. The start was good. That was one of the main things to get right today. But on lap 2, suddenly, out of Turn 7, there was debris. I didn’t have time to avoid it…"
Valtteri BOTTAS," Yeah, I saw it. I aimed in the middle of the car, at least I tried to no run over that with the tyres but obviously it caused some damage or something that made the car quick difficult to drive."
Valtteri BOTTAS, I was really pushing hard to try to avoid Max getting through. I had to push over my limits and that led to a few mistakes so unlucky.
Lewis HAMILTON," It was an exhausting race, the speed we were having to go. Obviously I had a poor start. It’s just very overwhelming right now because I look at my crew, this team here. And I know all the guys and girls… the men and women back at the factory, back at the factory in Brackley and Brixworth who… They are the unsung heroes. They are the ones that have really grafted away and never given up. They have just continued to push and elevate and innovate. People watching maybe think we are used to it but it always feels like the first with this team and I think that’s because of the spirit and so I am forever grateful to everyone to be a part of it, to be a part of breaking a breaking record like this. No team has done this before. We have a great leader in our team and also a big thank you to Mercedes, Petronas and all of our partners. We wouldn’t be able to do what we do without them."
Lewis HAMILTON," It’s unbelievable. To come back year on year… I’ll tell you, whilst we have great performance it’s not easy to deliver weekend-in, weekend-out, and for everyone, they are so precise with how they take the car apart and put it back together. Whoo! Seven-time champs. That’s something I’m going to be able to tell my grandchildren one day."
Toto WOLFF," Yeah, I’m not so much into numbers but this is something to be proud of really. We have a group that is just amazing together. We’ve stayed together, we’ve tried to push the benchmark to new levels and we’ve achieved that and it’s just a super proud moment with all these guys and being part of it."
TW," Yeah, as long as we stay motivated and energised, and you see that within these guys, then I think we can push it furthermore. There will be competition, no doubt, next year, with Max and Honda trying to do a really good job towards the end of the season, so we are looking forward to a new challenge."
TW," Valtteri had a, I think it was a Ferrari piece or a Racing Point piece, about that size, stuck underneath his car. It was debris his overran on lap two. He couldn’t avoid it."
Lewis HAMILTON, Hahaha! Toe jam!
Daniel RICCIARDO, Not as bad as you thought?
Lewis HAMILTON," It definitely didn’t taste great. I mean I don’t really like Champagne as it is, but it definitely tastes worse. But what’s positive is that Daniel’s mum thinks I was a good sport, so I’m grateful for that. I think Daniel had said that I’d once said never, that I would never do it. So there’s a lesson – never say never. It was a good moment… I don’t know I’m just feeling incredibly proud of this team and you know, to live in a moment where we see a team so successful and to be a part of it is quite phenomenal. Something that it the real honour of my life, working for this team and for all these people back at the two factories, Brixworth and Brackley. You know they really are the unsung heroes that are not on TV every weekend. They’re the guys that are working flat out every day during the weeks, crazy hours, to build and to innovate, to raise the bar, so that we can come here and do what we have done today and this year. I really don’t take it for granted that we have had this success. People could say ‘oh, you must be used to it’, and obviously maybe the fans are used to it, but from working inside the sport, you never get used to it. From tomorrow we’ll be focused on what’s next. We’ll be focusing on how we can be better. On Wednesday we’ll be having a big team meeting, trying to understand what could have been done better. We’ll have an analysis of what the next car looks like and what’s needed to raise the bar with the engine, with the driveability, with the ride, with tyre usage, all these different things. That’s because at the core of this team is some real heart and so a big thank you to everyone."
Lewis HAMILTON," It’s almost more exciting winning the team one. It’s a very strange sport in the sense that it is as team sport but there are two championships and then there is an individual championship, but what is at the core our job is to deliver points and results for the team. So when you win a team championship I think it’s almost better than an individual because it’s something you do collectively, with a large group of people and whilst we are the ones standing on top of the podium we are not above anybody. We are on the same level, we are all part of the chain links. You can tell that everyone is so happy when they get the Constructors’ title. When we do the Christmas party and we celebrate with everyone, everyone just knows that they did a remarkable job and that they have done something that nobody else has done before. That’s cool to be a part of. Even if I was to stop today that would be something that I would be able to share with that large group of people for the rest of my life."
Lewis HAMILTON," It was incredibly intense, very hard, physically quite draining as well, and mentally, mainly because it’s a very fast circuit, very bumpy. Valtteri got a great start. I thought I would get a better start today but it didn’t turn out the way I would have liked and I fell to third. My next strategy was to try and get by the Red Bull but it was just impossible to get close and in trying to get close I was killing the front tyres. So I backed off and just tried to keep within distance. Then Max stopped much earlier than I thought he would and Valtteri stopped to cover him and there was no way I was doing the same. Naturally, at the beginning of the race we get given a bunch of different options of strategy and I understood that if I was in that position the only way to do something was to do something different – to extend as long as I could. But I didn’t know how long that tyre would go, but I think that’s where the race was won today."
Valtteri BOTTAS," Yeah, for me it’s crazy to thing that I’ve now been part of the team four years in a row to be part of winning the Constructors’ Championship. It’s quite unreal – but I think everything that Lewis said. For me, I’m just really thinking the same. I’m so proud of every single team member, what they’re doing. All the factories and in the race team. We keep raising the bar for every single team member but we do it united. We support each other but the spirit the team has, it’s making these things possible. And I’m really, really proud to be part of it. I think for all of us in the team, it takes a bit of time to understand what we’re doing and what we are achieving – but we should definitely enjoy it because it is amazing and I’m really proud of everyone. So, thanks team."
Valtteri BOTTAS," Actually it was lap two, out of Turn Seven. Like, on the racing line, I didn’t have enough time to react. I saw a big piece of carbon, so I decided the only chance… what I had to do, what I had time to do was aim at least how to hit it. I decided to go straight over it instead of hitting one of the tyres and possibly getting a puncture but, unluckily, it got stuck on the floor – under the floor – and apparently it was like 50 points of downforce which, in lap time, is quite a big chunk. How it affected me, I would say mainly in high-speed corners. I could feel that the car was sliding a bit and in some brakings it was a bit unpredictable, so sometimes I would lock the wheels and sometimes it would stop pretty quickly. It was not really consistent, the downforce I had in the car. It made it really tricky and I could see I just didn’t quite have the pace and Max was putting a lot of pressure and in the end he got through because I had to push over my limits to try and maintain the position. I had a lock-up and that was it. Not my day. I didn’t have a chance with that debris in the car to fight for the win today, unfortunately. But at least we could secure a 1-2, which is a perfect way to secure the seventh title for the team in a row."
Daniel RICCIARDO," They’ll all pretty good, for sure. As Lewis touched on, with the wins, I’m also not going to take this for granted. It’s the second in three races but I’m as excited as I was in Nürburgring. It was a bit more… I feel it was a bit more unexpected, this one. We were running P5 with roughly 15 laps to go, I think, and then there was the issue with Max, so that brought out the Safety Car. So I guess that put me in fourth on track, and then Pérez pitted which, yeah, obviously I was smiling about because I was ‘well, that’s given me third on track’ and I knew hanging on with the Hard on the restart was going to be tricky but I was more than happy to fight for it at the end. Track position’s obviously very important around here, so yeah, I think both myself and the team were very willing to keep me out on track. We held on. I think the threat at the end was Kvyat and that was very surprising. I wasn’t sure where he came from but I was told he was on the Soft and he was coming on obviously very strong – but held on and just very, very happy. It’s pretty surreal actually, the first one and to get two now in such close proximity. It’s awesome."
Daniel RICCIARDO," OK. It’s so close! That’s awesome. Obviously I saw Esteban off fairly early in the race I believe with a mechanical, so that’s a shame. I don’t know where he was on track but I know he would have had the pace to collect points today I’m sure. So, obviously it’s great that we got big points with one car but I think if we’re going to keep our nose in front for sure we need both cars in the points. It’s a shame, I guess he had some reliability issues today but still got a few races to go and I think we’ll fight until the end for sure – so I’m excited for that."
Lewis HAMILTON," The start, I don’t really know. Just poor grip and… I’d have to look back it but it just felt like it wasn’t particularly fast and obviously I lost ground to both Valtteri and Max. Max, I think, was fortunate to be in P3. In hindsight I could have done a different job. Now I know. Hindsight’s a great thing but I’ll know for next time. And delta, I think just overly cautious and, for whatever reason, the Safety Car was out and the delta wasn’t an issue at that point. We were quite down on the delta."
Lewis HAMILTON," There’s been a lot of changes over the time. What’s really crazy – for me – is that I was brought in, ultimately, to replace Michael, which was such a strange position to be in because, obviously, I’d watched this man dominate the sport and achieve such great things and he was stopping and I was going to be taking his place. The guys that I worked with were his previous mechanics and engineers and what a privileged position to be in. However, they had had quite a difficult time and the car hadn’t been good. I think what was really great was that, when I joined, I was personally able to put my stamp on the car and make a lot of alterations, particularly in 2013. And then we just collectively worked together. I knew that we would have a great engine because they had already started developing the engine before I’d even made my decision to join the team, before I’d signed the contract. Being that I was with Mercedes at McLaren, I was able to go to the factory, I knew what Mercedes was doing, I knew that McLaren was coming out of contract with Mercedes and I knew that I wanted to be with Mercedes-Benz because I think it’s such an iconic brand and I think they were so passionate about what they wanted to achieve. They’ve got such a great history and I knew that they had the power to turn things around. But it took so many incredibly hard working people to collectively come together to really innovate and design some incredibly… some of the most incredible bits of the car… to come together… the puzzle. It’s obviously a big puzzle. To watch it all come together is a real joy and, at the end of the day, there’s only two of us that get to drive it. I think also, the guys are just very level-headed. Even when you’re on the podium, the guys are never too overly-excited. They’re not out celebrating; they’re back at their desks already right now. I know for sure they’ll be back at their desks right now, already doing emails, working on what spares there are for the next race, working on what’s next to try to get ahead of the curve. And that’s what this team’s always been about."
Lewis HAMILTON," I thought that he was so I was a bit surprised. I thought that’s why he was at the front. We very rarely see him at the front there and he came and did an interview, so I thought that he was coming up – but I think whilst it would have been nice for him to be up there with us, I think that’s a real showing of a leader. He’s not trying to be at the front of every photo. He’s not trying to claim anything. He puts the team first. I think that’s… without doubt he is the best leader here. It doesn’t matter what anyone says, no-one has done as good a job as he has. I think it’s his mentality, the balance of drive, compassion, understanding and ego. All of them come together to create the best boss you could have. Every single person in the team, no-one’s below him, and he really cares about how everyone is doing,  ‘how’re things away from the track?’, ‘how’s things at home with your family – is there anything we can do so you can be better at the office?’ He’s a great guy and I feel privileged to have him as our leader. We wouldn’t have been able to do this without his guidance."
Lewis HAMILTON," I don’t even know if I’m going to be here next year so it’s not really a concern for me at the moment. No, I think I understand and we have a lot of deep conversations, Toto and I, so I’m very, very aware of where he is mentally and we share a lot of … and carry a lot of the weight together, I think. Jeez, yeah, I’ve been in a long, long time. I can definitely understand wanting to pull back and give more time to family and those things. I don’t know who he would replaced but again, he’s a leader, he’s not going to put anyone that’s not going to be able to do the job, not going to be up to it, who’s not going to be geared up. He will find the right people. That’s why we have the success we have, we’ve found the right people and put them in the position to be able to shine as bright as possible. He’s just empowered every single person in the team, to be the best they can be. So he will find somebody that’s able to take on and continue… But you know, it’s not one person. The team is not about one person, it’s a collective of a lot of people. Toto doesn’t build the car, it’s a real team effort. But I’m supportive of him, whatever he wants to do, moving forwards."
Valtteri BOTTAS," I think, to be honest, Lewis said everything. I just copy paste it, because I really think the same, that he’s going to be a tough guy to replace in the future and the way he leads the team, he’s a smart guy and he knows exactly what kind of support each team member needs, how much they need, criticism and how to help them to be a better version of themselves and that applies to every single team member and he can really read people well and he’s supportive and he’s done something incredible and I’m fortunate that I’ve known him since 2008 so quite some long time now and he was a bit part of my early career as well. He’s a great guy and whatever he’s going to do in the future I’m going to respect that as well because in the end you’re living for yourself in this life and that’s how it goes."
Valtteri BOTTAS," It was two different scenarios, I would say. We went through the plans this morning, what happens if one of us gets under pressure and there’s a possibility that Red Bull could undercut and that was me today, so obviously I had to react and it would have been the same case if I was in Lewis’s position that the only thing I wanted to do is to go long and seek the opportunities and it really paid off for Lewis today and if we were the other way round it would have been the same for me. Obviously Lewis, he had the pace advantage, I think, honestly, partly, for sure today because of the debris I had but we were pretty strong but two completely different scenarios and actually in Portimao, even though I asked for the soft but I couldn’t achieve the target lap anyway, to get the soft to last until the end. The racing intent is good and is working and we are following the rules and it’s completely fair. It’s one of the thing that allows us as a team to actually do the things that we’re doing."
Valtteri BOTTAS," Actually, I got a warning from my engineers that they could see some gravel, maybe, on lap two in turn seven because they could see some kind of warning somewhere but there was no yellow flag but it was big piece of debris and I didn’t have enough time to react, to go around it so I would have time to decide how I’m going to hit the debris and I decided to go, like, straight over instead of with the tyres. Yeah, it would be good to get more of an understanding why there was not any sign of big piece of carbon because obviously it’s dangerous if there’s flying things around but it sure didn’t help my race today."
Lewis HAMILTON," Well, every trophy does, for sure. When we came back, just before we came in the podium, we saw there was a lady there doing the engraving, which is probably the first time I’ve seen that being done, just before… do they always do that? There was a time when trophies were… when you’re from the young days, from karting, little plastic… but they’re so special, they all had such a great meaning and then as you get through the categories they would get nicer, they would get more expensive and you got to Formula 1 and they were so stunning and… but then we went through a patch where they really did a cost-cutting scheme and we had some really dodgy, really flimsy trophies, those ones did not survive the time but this one, particularly, I think, being that we’ve not had a race here for a long time, it is where I remember the day when I was in karting in ’94 at Rye House when Ayrton passed away so to think that we’re here, 26 year, whatever it is, 26 years later and to be able to win here as he had done many times and so yes, the trophy definitely is a keeper and it felt it had good weight to it so it felt like a… it didn’t feel like a cheapy."
Lewis HAMILTON," Well, we’re in November and I’m still… it’s crazy that it’s Christmas isn’t that far away. Naturally, I feel great, I still feel very strong, I feel like I could keep going for plenty of months but you know, you mentioned about Toto and shelf-life so there’s multiple things that do stay on the top of my mind but I would like to be here next year but there’s no guarantee of that, for sure. There’s a lot that excites me of the after life so time will tell."
Lewis HAMILTON," We, as a team, have done such a remarkable job, so I fully acknowledge that it’s a collective and we wouldn’t be able to get these one-twos if it wasn’t for these great people behind us. But still, I’ve got a phenomenal driver and teammate who comes in weekend in and weekend out and makes my life very very difficult and so this year, I think it’s… being that you’ve seen the different steps that Valtteri’s taken, he’s getting stronger and stronger, he’s picking up his game, every year, it’s been a great challenge to race alongside him. I definitely think these last couple of years I’ve been able to step into a different… really step it up, quite big strides, I would say, in positive areas and I think that’s come with age. I’m getting older now and whilst not letting my physical side drop off, I’ve been able to really… you’ve seen in the race today… I think getting stronger which feels good. I think this year has been feeling that, being getting stronger and stronger. Definitely really proud of this year’s performances but I couldn’t have done it without these great people working behind me who really provide us with the solid foundation of a reliable car, a fast car, to do what we’ve done, so it’s pretty awesome."
Max VERSTAPPEN," Yeah, I think overall it was a good race. I was just trying to follow Lewis, once Valtteri of course dropped out. I think the pace was good. We were just trying to do our own race a little bit. They were just a little bit too fast. But last lap, I thought “I’m just going to give it a go” and see what happens and we just managed to get that fastest lap but also that one extra point. So yeah, I was pretty about that."
Max VERSTAPPEN," Yeah, the track is very cold and the tyres are already cold when you leave from the box. I just didn’t understand why the Safety Car was out for so long. The car was cleared. I understand they want to bunch up the field, but it’s pretty dangerous with these cars when the tyres are so cold. We’ll look into that but anyway we finished second, where I think we belong today, and that’s the most important thing."
Daniel RICCIARDO," Yeah, it’s been a while. To be honest it feels like the first podium all over again. It’s been two and a half years or something. The feeling is really nice. It’s fresh, so, wow! So happy and obviously to see everyone as well – we have all waited a long time for this, so I think everyone is going to soak it up."
Daniel RICCIARDO," Yeah, so it’s real. It’s going to happen. We’ll have to do some thinking now. Probably something to do with me but I think with a German flavour. This is obviously the place we did it so a little tip of the hat to something traditional in Germany as well."
Lewis HAMILTON," I had a good start and got up alongside Valtteri and we both like understeered into the corner. So I tried to give as much room as possible and then he was in my blind spot so I didn’t know where he was after that. I moved as wide to the outside but he came back and he did an amazing job and I remember coming out of that corner thinking,  “Good on you, man. I’m impressed. That was good.” After that I just had to make sure… I tried to hang on to him as far as that was possible. I managed to look after my tyres really well, and I could see he was graining his front tyres and I knew those next couple of laps were the time for me to push and then he had his lock-up. But it was not an easy race at all. The Red Bulls are so fast. Max drove extremely well. I think the one place and chance he had was at the re-start but I managed to pull away and pull a nice gap. But you can say their pace at the end. We’ve got a serious fight on our hands."
Lewis HAMILTON," No, absolutely. I’m telling you, I’m knackered."
Mick SCHUMACHER, Congratulations and this is for you from all of us. It’s a great achievement really.
Lewis HAMILTON, I’m honoured man.
Mick SCHUMACHER, It’s a race helmet from 2012.
Lewis HAMILTON," Thank you. It’s such an honour. I totally appreciate that, thank you."
Lewis HAMILTON," I don’t know even what to say. You know, when you grow up watching someone and you idolise them, not just in terms of the quality of driver they are but that they are able to continuously do [it] year on year, race on race, week on week, with their team. I remember playing [as] Michael on a game called Grand Prix 2 I think it was. I think there was a time I was playing you at one stage too. Just seeing his dominance for so long I don’t think anyone, and especially me, could imagine that I’d be anywhere near Michael in terms of records. It’s going to take me some time to get used to it. Honestly as I came into the pit lane it was only then that I realised that I had equalled it. I hadn’t even computed it. I mean I couldn’t have done it without this incredible team, everyone continuing to push behind me and giving it their everything. So a big, big thank you and huge respect to Michael."
Lewis HAMILTON," It’s definitely not sunk in, that’s for sure. I don’t know how it is for other drivers when they have these wins but it takes some time for you to analyse it and for it to sink in, to realise what it actually means. But like all of us, I grew up watching Michael win all of those grands prix and I couldn’t have fathomed equalling him. I think getting to Formula 1 was the first step of the dream and obviously emulating Ayrton. But Michael was just so far ahead. It’s beyond my wildest dreams to think that I’m here today having equalled him and I just feel really humbled by the moment and the opportunity I was given when I was 13 by Mercedes to join this team and I feel really proud to continue to represent them and to have brought this record to Mercedes. Hopefully we have got more records to break and to make. Hopefully they know it was a good investment!"
Lewis HAMILTON," Naturally everyone knows that he is a legend and an icon of the sport. I think what he achieved in so many areas but your know pushing the limit in terms of the physicality side, he really was a pioneer in being the fittest driver at the time, and what he did at both the teams he was at, particularly Ferrari, was just remarkable. I think for me, that number is so big it’s hard for people to, when it’s so far away, it’s hard for people to perhaps fully understand how hard it was for him to have got those 91 wins, to deliver weekend in weekend out, year on year on year, and stay so physically in shape and so precise. I understand that now more than ever. I can only tell you that it doesn’t get easier. From you first win to your 91st I’m telling you it’s been a long hard run. I’ve got great drivers around me who I’m enjoying racing. I’m hope that it’s closer between us moving… Daniel did a great job, but Max drove exceptionally well also today and applied so much pressure. But Michael is and always will be a legend of the sport and I feel very humbled to have one of his helmets and honoured."
Max VERSTAPPEN," Yeah, it was good. I tried to follow Lewis around the whole race. I think he was a bit faster the whole race but from our side overall it was a positive weekend, so very pleased with that. You just keep on working to try to close the gap further."
Max VERSTAPPEN," It felt… yeah we brought new parts to the car so the car definitely improved. So yeah, we’ll try and keep learning more about it because, of course, the weekend was a bit shorter than expected and we’ll try to improve further and, of course, the next race we can try it all over again."
Daniel RICCIARDO," It honestly feels like the first podium. I’ll say it all over again. These emotions. There’s like that feeling when you get out of the car and go and hug the team, getting slapped on the helmet, getting a nice headache, it’s a bit of a shock happiness but we know we did it. I think as well, it’s the first one with Renault, so the first podium with a new crew but, as you touched on, it’s been two-and-a-half years since I was in one of these post race press conferences, so it’s been a while. It’s a feeling I’ve missed. I feel we’ve been knocking on the door, particularly the last four-five races we’ve been so close and finally had the opportunity and we took it. I felt it was coming and it’s nice to have made it happen, so very, very happy for everyone. To see Renault there down below the podium, I know it’s a big day for everyone."
Lewis HAMILTON," Hopefully you know me well enough by now to know that I never do. I think it definitely doesn’t feel like a relief. I think… I don’t know why. It doesn’t feel that way at all. I think I just feel very… I’m just thinking about all the people that have helped me get to this place. If you see on the podium with me, Stevo [Stephen Lord – Race Team Coordinator] had been with me every single race in Formula 1. He moved with me from McLaren to Mercedes and he’s been with me through every single one of those 91 wins, which is… the journey that you go on with so many people is what really matters and what really counts. Of course the number is great but I think what we collectively have done, I’m just unbelievably grateful to Mercedes for giving a young black boy a chance when I was 13 years old and supporting me all the way. Of course we still have many races to go. I think Red Bull as well as Renault have really picked-up their game and closed the gap so we’ve got to continue to keep our heads down. I definitely didn’t think coming into this weekend that I would have the lead that I now have. Valtteri was incredibly unlucky today – I don’t know exactly what happened. I’m grateful that I got to have that bit of a fight with him on the track but I know that he will… so many different things in this crazy pandemic can still happen so I’ve got to focus on staying healthy and continue to try to deliver weekends like this one."
Daniel RICCIARDO," It was going to be tight. I was trying to manage a little bit the tyres to have something at the end but he started to catch me, on some laps a second a lap. So, I was then trying to pick up the pace and not to be vulnerable too early. There was a discussion,  do we pit or not? But, I think if there wasn't a Safety Car, I think we would have stayed out and tried to have held on – at least put up a fight. I think, you know, if you pit and then don’t… if the tyres don’t have much of an advantage and we don’t get on the back of Pérez, then some could say you had the track position and you gave it up. So, I think in that position we would have taken the risk. And it would have been very close. I was a little bit mixed to see the Safety Car because I knew it was going to bunch us up – but obviously it put us all on the same tyre, so obviously it maybe helped us hang on at the end. Something like that!"
Daniel RICCIARDO," Yeah. It’s a good point. I think there’s going to be a lot of brainstorming to do for Cyril’s tattoo. I’m sure he’s going to be excited. The first one is always a fun one. We’ll think of some things – but yeah, could be this! The car. It’s certainly, I think, from the start of the year, it’s been a new car from last year in terms of it’s been a lot better. The rear of the car has picked up a lot of downforce, so that’s given us drivers confidence to nail the throttle and get off the corner better. It was around Silverstone I think we had a few updates and that really just felt like we were able to basically find a bit more ease in setting the car up and it wasn’t so hit-or-miss. Last year I felt we, at times, could be very fast or well outside the top ten. I think now we’re just able to sit in that sweet spot and obviously the performance is there. It’s proven now,  we’ve done it on low downforce, high downforce circuits. So, yeah, I think it’s a good package and we should have confidence now for the remainder of the season."
Max VERSTAPPEN, Simply lovely!
Lewis HAMILTON, That’s an awkward question to ask!
Max VERSTAPPEN," It’s an incredible achievement because I think, like Lewis already said, 91 wins, everyone thought that was almost impossible to reach, right? To be there now, himself, it’s incredible and very impressive. And I’m pretty sure there will be some more victories coming his way – and probably also Championships. So, yep, just very impressive. And hard to beat."
Daniel RICCIARDO," yeah, absolutely. Tip of the hat at the very least. I don’t think that’s enough. Ninety-one is like… I don’t know… it’s just… even 91 years, you’re talking nearly five years worth of races, four and a half. That gives perspective. How much success Lewis has now had. Obviously Michael as well. To do it, week-in, week-out as well, and year-on. His career now has been well over a decade in the sport and to keep coming back and to show that level of consistency at the front. That’s also not easy. I think us up here I think we understand that. You can have a package and a car to do it, but it’s doing it every weekend when the lights go out. It’s easier said than done. Certainly big respect. I think also the gift that he received, one of Michael’s helmets, that’s one of the coolest gifts I’ve ever seen in the sport, so, it’s really nice to see that today."
Lewis HAMILTON," It’s been every decade in this sport. I think it’s pretty impossible to say what is the hardest moment because like all of us, all of us as individuals, we all go through multiple difficult moments, particularly when it comes to making big decisions. I think that whilst it looks great now, when choosing to move to Mercedes, everyone spoke so negatively about the decision to move and I don’t know how, but not for a moment did I ever think… I knew that it was the right decision for me and I wanted to be a part of that journey. I’ve grown with a team that’s hungry for success but I would say that’s one of the most difficult moments, because I’d been a very loyal person, I think. I was with McLaren-Mercedes since I was 13 so to decide to leave a team that’s given me a place in the sport was very, very difficult for me and to call your boss and tell him that you’re leaving, it was damaging and just emotionally difficult. But then I’m still with Mercedes, every win and every race that I’ve done has been powered by Mercedes and for that I’m incredibly grateful."
Lewis HAMILTON," Yes, of course. I actually already have one of Michael’s helmets. He and I… one of the really, really special moments for me was in Abu Dhabi 2012. I went over to the Mercedes hospitality and met with Michael and we exchanged helmets and that for me was a moment that I will never forget, to stand with someone who I grow up watching on TV and having the honour of exchanging jerseys or helmets, it’s what us sportsmen do and it’s the highest sign of respect that I can think you can really show. So to have the legend of the sport do that with me was really special. But to have his family honour me today, I’m just incredibly humbled. You know his son is such a great bright talent and just a really genuine human being so Michael’s obviously raised a great man in him and I look forward to seeing how his career will look moving forwards. Yeah, but now I have two special helmets from Michael in my small living room."
Lewis HAMILTON," Ah, that’s a good question. Ultimately I think you just have to be grateful for all that you… to this point, what I have of course I can set goals and I’ll continue to charge on and try to see what is possible. I think I’ve got the best team behind me, who continuously inspire me. Each year I come back to the factory and see these guys pumped up and focused and being incredibly smart and innovative every year. And also just so welcoming to me you know. You would have thought that after all this time we’d get fed up with each other but we don’t, there’s a real love within this team and I’m grateful for that. I think for me, like everyone here, I love doing what I do. I love the challenge. It is so hard and I think I would be willing to say there’s potentially not enough respect that is probably given to all these drivers who dedicate their lives in terms of preparation, the amount of work that goes on n the background to be able to do what all of us do in this sport, past and present, is really remarkable and I love being a part of that. I love that challenge, I love the challenge that Max gave me today. I love seeing him behind me, seeing the challenge that Daniel gave Max also, the sport, the smell of it, the whole aura and atmosphere it creates is going to be difficult to let it go. But I do feel, whilst I’m older than these guys, I feel as young as them, at least, in spirit. I’m still very much a kid when I’m off the camera. That will probably change when I start seeing grey hairs and stuff but I’m good for now."
Max VERSTAPPEN, You can dye it.
Lewis HAMILTON," Yeah, exactly."
TC," Lewis, of the 91 wins, do you have a favourite?"
